ho monitorato dal giorno : 2019-09-11 16:31:22
al giorno : 2019-09-19 09:35:23

nodi connessi invariati: lancio    percentuale      numero-peer-connessi 
  644   0.750000 %   24
  645   0.750000 %   24
  646   0.750000 %   24
  647   0.791667 %   24
  648   0.791667 %   24
  649   0.791667 %   24
  650   0.791667 %   24
  651   0.791667 %   24
  652   0.791667 %   24
  653   0.791667 %   24
  654   0.791667 %   24
  655   0.791667 %   24
  656   0.791667 %   24
  657   0.791667 %   24
  658   0.791667 %   24
  659   0.791667 %   24
  660   0.791667 %   24
  661   0.833333 %   24
  662   0.791667 %   23
  663   0.791667 %   23
  664   0.791667 %   23
  665   0.750000 %   24
  666   0.750000 %   24
  667   0.791667 %   24
  668   0.791667 %   24
  669   0.791667 %   24
  670   0.791667 %   24
  671   0.791667 %   24
  672   0.791667 %   24
  673   0.791667 %   24
  674   0.791667 %   24
  675   0.791667 %   24
  676   0.791667 %   24
  677   0.791667 %   24
  678   0.791667 %   24
  679   0.791667 %   24
  680   0.791667 %   24
  681   0.791667 %   24
  682   0.791667 %   24
  683   0.791667 %   24
  684   0.791667 %   24
  685   0.791667 %   24
  686   0.791667 %   24
  687   0.791667 %   24
  688   0.791667 %   24
  689   0.791667 %   24
  690   0.750000 %   24
  691   0.750000 %   24
  692   0.750000 %   24
  693   0.750000 %   24
  694   0.750000 %   24
  695   0.750000 %   24
  696   0.750000 %   24
  697   0.750000 %   24
  698   0.750000 %   24
  699   0.750000 %   24
  700   0.750000 %   24
  701   0.750000 %   24
  702   0.750000 %   24
  703   0.750000 %   24
  704   0.750000 %   24
  705   0.750000 %   24
  706   0.750000 %   24
  707   0.750000 %   24
  708   0.750000 %   24
  709   0.750000 %   24
  710   0.750000 %   24
  711   0.750000 %   24
  712   0.750000 %   24
  713   0.750000 %   24
  714   0.750000 %   24
  715   0.750000 %   24
  716   0.750000 %   24
  717   0.750000 %   24
  718   0.750000 %   24
  719   0.750000 %   24
  720   0.750000 %   24
  721   0.750000 %   24
  722   0.750000 %   24
  723   0.750000 %   24
  724   0.750000 %   24
  725   0.750000 %   24
  726   0.750000 %   24
  727   0.750000 %   24
  728   0.750000 %   24
  729   0.750000 %   24
  730   0.750000 %   24
  731   0.750000 %   24
  732   0.750000 %   24
  733   0.750000 %   24
  734   0.750000 %   24
  735   0.750000 %   24
  736   0.750000 %   24
  737   0.750000 %   24
  738   0.750000 %   24
  739   0.750000 %   24
  740   0.750000 %   24
  741   0.750000 %   24
  742   0.750000 %   24
  743   0.750000 %   24
  744   0.750000 %   24
  745   0.750000 %   24
  746   0.750000 %   24
  747   0.750000 %   24
  748   0.750000 %   24
  749   0.750000 %   24
  750   0.750000 %   24
  751   0.750000 %   24
  752   0.750000 %   24
  753   0.750000 %   24
  754   0.750000 %   24
  755   0.750000 %   24
  756   0.750000 %   24
  757   0.750000 %   24
  758   0.750000 %   24
  759   0.750000 %   24
  760   0.750000 %   24
  761   0.750000 %   24
  762   0.750000 %   24
  763   0.750000 %   24
  764   0.750000 %   24
  765   0.750000 %   24
  766   0.750000 %   24
  767   0.750000 %   24
  768   0.750000 %   24
  769   0.750000 %   24
  770   0.750000 %   24
  771   0.750000 %   24
  772   0.750000 %   24
  773   0.750000 %   24
  774   0.750000 %   24
  775   0.750000 %   24
  776   0.750000 %   24
  777   0.750000 %   24
  778   0.750000 %   24
  779   0.750000 %   24
  780   0.750000 %   24
  781   0.750000 %   24
  782   0.750000 %   24
  783   0.791667 %   24
  784   0.791667 %   24
  785   0.791667 %   24
  786   0.750000 %   24
  787   0.750000 %   24
  788   0.750000 %   24
  789   0.750000 %   24
  790   0.750000 %   24
  791   0.750000 %   24
  792   0.750000 %   24
  793   0.750000 %   24
  794   0.750000 %   24
  795   0.750000 %   24
  796   0.750000 %   24
  797   0.750000 %   24
  798   0.750000 %   24
  799   0.750000 %   24
  800   0.750000 %   24
  801   0.750000 %   24
  802   0.750000 %   24
  803   0.750000 %   24
  804   0.750000 %   24
  805   0.750000 %   24
  806   0.750000 %   24
  807   0.750000 %   24
  808   0.750000 %   24
  809   0.750000 %   24
  810   0.750000 %   24
  811   0.750000 %   24
  812   0.750000 %   24
  813   0.750000 %   24
  814   0.791667 %   24
  815   0.791667 %   24
  816   0.791667 %   24
  817   0.750000 %   24
  818   0.750000 %   24
  819   0.750000 %   24
  820   0.750000 %   24
  821   0.791667 %   24
  822   0.791667 %   24
  823   0.791667 %   24
  824   0.791667 %   24
  825   0.791667 %   24
  826   0.791667 %   24
  827   0.750000 %   24
  828   0.750000 %   24
  829   0.750000 %   24
  830   0.750000 %   24
  831   0.750000 %   24
  832   0.750000 %   24
  833   0.750000 %   24
  834   0.750000 %   24
  835   0.750000 %   24
  836   0.750000 %   24
  837   0.750000 %   24
  838   0.750000 %   24
  839   0.750000 %   24
  840   0.750000 %   24
  841   0.750000 %   24
  842   0.750000 %   24
  843   0.750000 %   24
  844   0.750000 %   24
  845   0.750000 %   24
  846   0.750000 %   24
  847   0.750000 %   24
  848   0.750000 %   24
  849   0.750000 %   24
  850   0.750000 %   24
  851   0.791667 %   24
  852   0.791667 %   24
  853   0.791667 %   24
  854   0.791667 %   24
  855   0.791667 %   24
  856   0.791667 %   24
  857   0.791667 %   24
  858   0.750000 %   24
  859   0.750000 %   24
  860   0.791667 %   24
  861   0.791667 %   24
  862   0.791667 %   23
  863   0.791667 %   24
  864   0.791667 %   24
  865   0.750000 %   24
  866   0.750000 %   24
  867   0.750000 %   24
  868   0.750000 %   24
  869   0.750000 %   24
  870   0.750000 %   24
  871   0.750000 %   24
  872   0.791667 %   24
  873   0.791667 %   24
  874   0.791667 %   24
  875   0.750000 %   24
  876   0.750000 %   24
  877   0.750000 %   24
  878   0.750000 %   24
  879   0.750000 %   24
  880   0.750000 %   24
  881   0.750000 %   24
  882   0.750000 %   24
  883   0.750000 %   24
  884   0.791667 %   23
  885   0.791667 %   24
  886   0.791667 %   24
  887   0.750000 %   24
  888   0.750000 %   24
  889   0.750000 %   24
  890   0.750000 %   24
  891   0.750000 %   24
  892   0.750000 %   24
  893   0.750000 %   24
  894   0.750000 %   24
  895   0.750000 %   24
  896   0.750000 %   24
  897   0.791667 %   24
  898   0.791667 %   24
  899   0.791667 %   24
  900   0.791667 %   24
  901   0.791667 %   24
  902   0.791667 %   24
  903   0.791667 %   24
  904   0.791667 %   24
  905   0.791667 %   24
  906   0.791667 %   24
  907   0.791667 %   24
  908   0.791667 %   24
  909   0.791667 %   24
  910   0.791667 %   24
  911   0.791667 %   24
  912   0.791667 %   24
  913   0.791667 %   24
  914   0.791667 %   24
  915   0.791667 %   24
  916   0.750000 %   24
  917   0.750000 %   24
  918   0.750000 %   24
  919   0.750000 %   24
  920   0.750000 %   24
  921   0.750000 %   24
  922   0.750000 %   24
  923   0.750000 %   24
  924   0.750000 %   24
  925   0.750000 %   24
  926   0.750000 %   24
  927   0.750000 %   24
  928   0.750000 %   24
  929   0.750000 %   24
  930   0.750000 %   24
  931   0.750000 %   24
  932   0.750000 %   24
  933   0.750000 %   24
  934   0.750000 %   24
  935   0.750000 %   24
  936   0.750000 %   24
  937   0.750000 %   24
  938   0.750000 %   24
  939   0.750000 %   24
  940   0.791667 %   24
  941   0.791667 %   24
  942   0.791667 %   24
  943   0.750000 %   24
  944   0.750000 %   24
  945   0.750000 %   24
  946   0.750000 %   24
  947   0.750000 %   24
  948   0.750000 %   24
  949   0.750000 %   24
  950   0.750000 %   24
  951   0.750000 %   24
  952   0.750000 %   24
  953   0.750000 %   24
  954   0.750000 %   24
  955   0.791667 %   24
  956   0.791667 %   24
  957   0.791667 %   24
  958   0.750000 %   24
  959   0.750000 %   24
  960   0.791667 %   24
  961   0.791667 %   24
  962   0.791667 %   24
  963   0.750000 %   24
  964   0.750000 %   24
  965   0.750000 %   24
  966   0.750000 %   24
  967   0.750000 %   24
  968   0.750000 %   24
  969   0.750000 %   24
  970   0.750000 %   24
  971   0.791667 %   24
  972   0.791667 %   24
  973   0.791667 %   24
  974   0.791667 %   24
  975   0.791667 %   24
  976   0.791667 %   24
  977   0.750000 %   24
  978   0.750000 %   24
  979   0.750000 %   24
  980   0.750000 %   24
  981   0.750000 %   24
  982   0.750000 %   24
  983   0.750000 %   24
  984   0.791667 %   24
  985   0.791667 %   24
  986   0.791667 %   24
  987   0.750000 %   24
  988   0.750000 %   24
  989   0.750000 %   24
  990   0.791667 %   24
  991   0.791667 %   24
  992   0.791667 %   24
  993   0.750000 %   24
  994   0.750000 %   24
  995   0.791667 %   24
  996   0.791667 %   24
  997   0.791667 %   24
  998   0.750000 %   24
  999   0.750000 %   24
  1000   0.750000 %   24
  1001   0.750000 %   24
  1002   0.750000 %   24
  1003   0.750000 %   24
  1004   0.750000 %   24
  1005   0.750000 %   24
  1006   0.750000 %   24
  1007   0.750000 %   24
  1008   0.750000 %   24
  1009   0.750000 %   24
  1010   0.750000 %   24
